# OH sky emission lines for Magellan/LDSS3.
# VACUUM wavelengths, converted from the air wavelengths of the UVES
# sky emission atlas identification tables (gident_*.dat).
# Restricted to 6000-10500 A; unresolved groups within
# 3.0 A blended to their flux-weighted centroid; brightest
# 300 retained.  amplitude is the summed atlas FLUX.
|         wave | ion | NIST | Instr |    amplitude |         Source |
|  7293.129749 |  OH |    1 |     0 |     1.159110 | UVES_sky_atlas |
|  7297.965178 |  OH |    1 |     0 |     2.400420 | UVES_sky_atlas |
|  7306.106625 |  OH |    1 |     0 |     4.450940 | UVES_sky_atlas |
|  7313.064849 |  OH |    1 |     0 |     0.820790 | UVES_sky_atlas |
|  7318.305414 |  OH |    1 |     0 |    13.139180 | UVES_sky_atlas |
|  7331.440437 |  OH |    1 |     0 |     6.215620 | UVES_sky_atlas |
|  7359.383328 |  OH |    1 |     0 |    36.682360 | UVES_sky_atlas |
|  7385.219243 |  OH |    1 |     0 |     0.347040 | UVES_sky_atlas |
|  7394.005652 |  OH |    1 |     0 |     4.625180 | UVES_sky_atlas |
|  7403.833751 |  OH |    1 |     0 |     8.405730 | UVES_sky_atlas |
|  7416.213864 |  OH |    1 |     0 |     1.072020 | UVES_sky_atlas |
|  7431.836021 |  OH |    1 |     0 |     3.806340 | UVES_sky_atlas |
|  7440.907466 |  OH |    1 |     0 |     5.087510 | UVES_sky_atlas |
|  7477.538898 |  OH |    1 |     0 |    15.267470 | UVES_sky_atlas |
|  7495.731180 |  OH |    1 |     0 |     1.230720 | UVES_sky_atlas |
|  7525.438872 |  OH |    1 |     0 |    11.196100 | UVES_sky_atlas |
|  7532.493814 |  OH |    1 |     0 |     3.413270 | UVES_sky_atlas |
|  7541.342046 |  OH |    1 |     0 |     1.364730 | UVES_sky_atlas |
|  7554.601473 |  OH |    1 |     0 |     0.425790 | UVES_sky_atlas |
|  7560.272801 |  OH |    1 |     0 |     2.559830 | UVES_sky_atlas |
|  7569.702061 |  OH |    1 |     0 |     0.770630 | UVES_sky_atlas |
|  7574.172401 |  OH |    1 |     0 |     7.119450 | UVES_sky_atlas |
|  7588.179455 |  OH |    1 |     0 |     2.540300 | UVES_sky_atlas |
|  7600.470369 |  OH |    1 |     0 |     2.375260 | UVES_sky_atlas |
|  7625.016708 |  OH |    1 |     0 |     8.288010 | UVES_sky_atlas |
|  7650.455196 |  OH |    1 |     0 |     3.049970 | UVES_sky_atlas |
|  7664.478212 |  OH |    1 |     0 |     2.627060 | UVES_sky_atlas |
|  7695.077813 |  OH |    1 |     0 |     6.373930 | UVES_sky_atlas |
|  7732.313577 |  OH |    1 |     0 |    68.456940 | UVES_sky_atlas |
|  7762.282285 |  OH |    1 |     0 |     7.366590 | UVES_sky_atlas |
|  7775.064050 |  OH |    1 |     0 |     5.910850 | UVES_sky_atlas |
|  7806.441208 |  OH |    1 |     0 |    51.126220 | UVES_sky_atlas |
|  7836.203005 |  OH |    1 |     0 |     0.556000 | UVES_sky_atlas |
|  7843.337799 |  OH |    1 |     0 |     7.163780 | UVES_sky_atlas |
|  7857.135500 |  OH |    1 |     0 |    33.103010 | UVES_sky_atlas |
|  7872.107844 |  OH |    1 |     0 |    12.729080 | UVES_sky_atlas |
|  7887.445271 |  OH |    1 |     0 |    18.471510 | UVES_sky_atlas |
|  7915.434459 |  OH |    1 |     0 |    28.412690 | UVES_sky_atlas |
|  7923.205009 |  OH |    1 |     0 |     8.137000 | UVES_sky_atlas |
|  7941.054722 |  OH |    1 |     0 |    17.321200 | UVES_sky_atlas |
|  7966.821040 |  OH |    1 |     0 |    18.881350 | UVES_sky_atlas |
|  7979.372131 |  OH |    1 |     0 |    12.466410 | UVES_sky_atlas |
|  8001.982655 |  OH |    1 |     0 |    22.996960 | UVES_sky_atlas |
|  8022.242577 |  OH |    1 |     0 |     1.494740 | UVES_sky_atlas |
|  8028.665503 |  OH |    1 |     0 |    18.800830 | UVES_sky_atlas |
|  8044.436258 |  OH |    1 |     0 |     0.898080 | UVES_sky_atlas |
|  8053.925236 |  OH |    1 |     0 |     3.611200 | UVES_sky_atlas |
|  8064.348065 |  OH |    1 |     0 |     8.822700 | UVES_sky_atlas |
|  8078.575397 |  OH |    1 |     0 |     0.953360 | UVES_sky_atlas |
|  8087.326024 |  OH |    1 |     0 |     0.900690 | UVES_sky_atlas |
|  8096.116251 |  OH |    1 |     0 |     1.061680 | UVES_sky_atlas |
|  8105.847055 |  OH |    1 |     0 |     4.845860 | UVES_sky_atlas |
|  8126.489345 |  OH |    1 |     0 |     0.705680 | UVES_sky_atlas |
|  8139.486659 |  OH |    1 |     0 |     2.942250 | UVES_sky_atlas |
|  8149.097330 |  OH |    1 |     0 |     1.906220 | UVES_sky_atlas |
|  8190.643984 |  OH |    1 |     0 |     0.627540 | UVES_sky_atlas |
|  8197.467174 |  OH |    1 |     0 |     0.755080 | UVES_sky_atlas |
|  8209.496971 |  OH |    1 |     0 |     0.656850 | UVES_sky_atlas |
|  8243.990131 |  OH |    1 |     0 |     0.500920 | UVES_sky_atlas |
|  8250.047725 |  OH |    1 |     0 |     0.622850 | UVES_sky_atlas |
|  8286.912452 |  OH |    1 |     0 |    34.988860 | UVES_sky_atlas |
|  8300.799085 |  OH |    1 |     0 |    24.377480 | UVES_sky_atlas |
|  8312.949415 |  OH |    1 |     0 |     6.141440 | UVES_sky_atlas |
|  8320.571152 |  OH |    1 |     0 |     0.735700 | UVES_sky_atlas |
|  8340.436691 |  OH |    1 |     0 |     0.799350 | UVES_sky_atlas |
|  8346.796303 |  OH |    1 |     0 |    44.464040 | UVES_sky_atlas |
|  8354.711557 |  OH |    1 |     0 |     9.511550 | UVES_sky_atlas |
|  8366.500142 |  OH |    1 |     0 |     7.336120 | UVES_sky_atlas |
|  8384.410946 |  OH |    1 |     0 |    10.848940 | UVES_sky_atlas |
|  8392.683002 |  OH |    1 |     0 |     0.755640 | UVES_sky_atlas |
|  8401.488612 |  OH |    1 |     0 |    63.192030 | UVES_sky_atlas |
|  8417.554792 |  OH |    1 |     0 |    13.181830 | UVES_sky_atlas |
|  8432.410397 |  OH |    1 |     0 |    46.743560 | UVES_sky_atlas |
|  8454.279805 |  OH |    1 |     0 |    12.254690 | UVES_sky_atlas |
|  8467.619607 |  OH |    1 |     0 |    27.347020 | UVES_sky_atlas |
|  8476.947800 |  OH |    1 |     0 |     0.464180 | UVES_sky_atlas |
|  8503.430999 |  OH |    1 |     0 |    24.473260 | UVES_sky_atlas |
|  8522.948930 |  OH |    1 |     0 |     0.529340 | UVES_sky_atlas |
|  8541.036416 |  OH |    1 |     0 |     5.952720 | UVES_sky_atlas |
|  8551.006423 |  OH |    1 |     0 |     5.124380 | UVES_sky_atlas |
|  8577.151224 |  OH |    1 |     0 |     0.962960 | UVES_sky_atlas |
|  8590.555170 |  OH |    1 |     0 |     1.449480 | UVES_sky_atlas |
|  8599.396549 |  OH |    1 |     0 |     2.205910 | UVES_sky_atlas |
|  8630.321077 |  OH |    1 |     0 |    43.746530 | UVES_sky_atlas |
|  8658.075876 |  OH |    1 |     0 |    32.657860 | UVES_sky_atlas |
|  8669.735724 |  OH |    1 |     0 |    21.393860 | UVES_sky_atlas |
|  8677.756041 |  OH |    1 |     0 |     7.241980 | UVES_sky_atlas |
|  8685.519784 |  OH |    1 |     0 |     8.302270 | UVES_sky_atlas |
|  8694.943746 |  OH |    1 |     0 |     1.772860 | UVES_sky_atlas |
|  8706.127439 |  OH |    1 |     0 |     4.400790 | UVES_sky_atlas |
|  8729.150761 |  OH |    1 |     0 |     0.378050 | UVES_sky_atlas |
|  8742.402575 |  OH |    1 |     0 |     1.019480 | UVES_sky_atlas |
|  8752.651258 |  OH |    1 |     0 |     0.363930 | UVES_sky_atlas |
|  8766.736505 |  OH |    1 |     0 |    60.288450 | UVES_sky_atlas |
|  8780.118748 |  OH |    1 |     0 |    35.513820 | UVES_sky_atlas |
|  8793.530928 |  OH |    1 |     0 |    10.218260 | UVES_sky_atlas |
|  8812.265764 |  OH |    1 |     0 |     1.692520 | UVES_sky_atlas |
|  8831.413423 |  OH |    1 |     0 |    83.735410 | UVES_sky_atlas |
|  8851.770503 |  OH |    1 |     0 |     9.005120 | UVES_sky_atlas |
|  8869.412326 |  OH |    1 |     0 |    17.261990 | UVES_sky_atlas |
|  8888.355731 |  OH |    1 |     0 |    44.227950 | UVES_sky_atlas |
|  8898.597604 |  OH |    1 |     0 |     1.147750 | UVES_sky_atlas |
|  8905.967589 |  OH |    1 |     0 |    21.333900 | UVES_sky_atlas |
|  8930.511634 |  OH |    1 |     0 |    53.280560 | UVES_sky_atlas |
|  8960.624156 |  OH |    1 |     0 |    39.292430 | UVES_sky_atlas |
|  8978.936586 |  OH |    1 |     0 |     3.160430 | UVES_sky_atlas |
|  8990.628820 |  OH |    1 |     0 |    11.531540 | UVES_sky_atlas |
|  8994.874902 |  OH |    1 |     0 |     1.230660 | UVES_sky_atlas |
|  9003.835570 |  OH |    1 |     0 |    24.051130 | UVES_sky_atlas |
|  9023.582228 |  OH |    1 |     0 |     0.693880 | UVES_sky_atlas |
|  9031.525821 |  OH |    1 |     0 |     1.075310 | UVES_sky_atlas |
|  9040.539692 |  OH |    1 |     0 |     3.596820 | UVES_sky_atlas |
|  9052.591196 |  OH |    1 |     0 |    12.550420 | UVES_sky_atlas |
|  9069.963880 |  OH |    1 |     0 |     1.995710 | UVES_sky_atlas |
|  9084.177025 |  OH |    1 |     0 |     0.515260 | UVES_sky_atlas |
|  9095.742874 |  OH |    1 |     0 |     4.535090 | UVES_sky_atlas |
|  9105.298052 |  OH |    1 |     0 |     5.643730 | UVES_sky_atlas |
|  9137.623218 |  OH |    1 |     0 |     0.463750 | UVES_sky_atlas |
|  9159.431760 |  OH |    1 |     0 |     7.476740 | UVES_sky_atlas |
|  9218.938098 |  OH |    1 |     0 |     1.996490 | UVES_sky_atlas |
|  9227.986495 |  OH |    1 |     0 |     3.452470 | UVES_sky_atlas |
|  9253.134068 |  OH |    1 |     0 |     2.124150 | UVES_sky_atlas |
|  9264.698458 |  OH |    1 |     0 |     0.745130 | UVES_sky_atlas |
|  9289.422332 |  OH |    1 |     0 |     2.139120 | UVES_sky_atlas |
|  9296.457645 |  OH |    1 |     0 |     2.165220 | UVES_sky_atlas |
|  9313.026032 |  OH |    1 |     0 |    86.503190 | UVES_sky_atlas |
|  9320.268160 |  OH |    1 |     0 |     3.369250 | UVES_sky_atlas |
|  9326.009338 |  OH |    1 |     0 |    44.843480 | UVES_sky_atlas |
|  9333.415891 |  OH |    1 |     0 |     2.441770 | UVES_sky_atlas |
|  9340.436295 |  OH |    1 |     0 |    12.634680 | UVES_sky_atlas |
|  9352.271323 |  OH |    1 |     0 |     4.305660 | UVES_sky_atlas |
|  9364.333378 |  OH |    1 |     0 |     1.544370 | UVES_sky_atlas |
|  9370.453211 |  OH |    1 |     0 |     1.225820 | UVES_sky_atlas |
|  9378.378905 |  OH |    1 |     0 |    98.372660 | UVES_sky_atlas |
|  9385.508796 |  OH |    1 |     0 |     2.977640 | UVES_sky_atlas |
|  9389.370442 |  OH |    1 |     0 |     9.777990 | UVES_sky_atlas |
|  9399.258994 |  OH |    1 |     0 |     1.625090 | UVES_sky_atlas |
|  9404.750189 |  OH |    1 |     0 |    14.365290 | UVES_sky_atlas |
|  9422.558277 |  OH |    1 |     0 |    21.369630 | UVES_sky_atlas |
|  9442.271933 |  OH |    1 |     0 |    60.151020 | UVES_sky_atlas |
|  9451.061525 |  OH |    1 |     0 |     3.086750 | UVES_sky_atlas |
|  9461.065014 |  OH |    1 |     0 |    27.789470 | UVES_sky_atlas |
|  9479.521444 |  OH |    1 |     0 |    40.469640 | UVES_sky_atlas |
|  9485.972511 |  OH |    1 |     0 |     0.641540 | UVES_sky_atlas |
|  9493.133890 |  OH |    1 |     0 |     0.888700 | UVES_sky_atlas |
|  9505.358502 |  OH |    1 |     0 |    22.339780 | UVES_sky_atlas |
|  9521.987796 |  OH |    1 |     0 |    50.746790 | UVES_sky_atlas |
|  9531.787983 |  OH |    1 |     0 |     1.717750 | UVES_sky_atlas |
|  9538.882229 |  OH |    1 |     0 |     3.072050 | UVES_sky_atlas |
|  9555.167291 |  OH |    1 |     0 |    15.567020 | UVES_sky_atlas |
|  9562.931670 |  OH |    1 |     0 |     1.343310 | UVES_sky_atlas |
