# lines
|               wave | ion | NIST | Instr |   Source | amplitude |
|  8505.410849053711 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8538.170922446918 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8618.358183372484 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8619.911474808145 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8621.334480876378 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8622.87755884567 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8624.529016339435 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8626.04514415251 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8627.902312416058 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8629.408092147502 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8631.47572861802 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8632.97149987485 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8635.249974496784 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8636.70518433586 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8639.235413125896 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8640.638726291769 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8641.843632039117 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8646.892751241756 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8649.687400086248 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8650.365350403792 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8651.270344498966 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8654.351630702762 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8655.85154033471 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8659.123693766447 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|   8660.62010658402 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8664.130484044823 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
|  8665.585764332369 | OH  |    0 |     0 | Spec_manual_sky |       0.0 |
